,split,Frequence (%),Metric name,Scores,D,M
123,leave_drugs_out (test_set 1),1,AUPRC,0.17473837780311835,twosides-NOSYN,AUPRC
124,leave_drugs_out (test_set 1),1,AUPRC,0.0912586212806936,twosides-NOSYN,AUPRC
125,leave_drugs_out (test_set 1),1,AUPRC,0.038703469987188384,twosides-NOSYN,AUPRC
126,leave_drugs_out (test_set 1),1,AUPRC,0.4250040505158116,twosides-NOSYN,AUPRC
127,leave_drugs_out (test_set 1),1,AUPRC,0.10550186992510084,twosides-NOSYN,AUPRC
128,leave_drugs_out (test_set 1),1,AUPRC,0.3038562503279949,twosides-NOSYN,AUPRC
129,leave_drugs_out (test_set 1),1,AUPRC,0.031027981626508015,twosides-NOSYN,AUPRC
130,leave_drugs_out (test_set 1),1,AUPRC,0.10596244821831957,twosides-NOSYN,AUPRC
131,leave_drugs_out (test_set 1),1,AUPRC,0.2032131650596589,twosides-NOSYN,AUPRC
132,leave_drugs_out (test_set 1),1,AUPRC,0.022190139710828033,twosides-NOSYN,AUPRC
133,leave_drugs_out (test_set 1),1,AUPRC,0.047722637188630304,twosides-NOSYN,AUPRC
134,leave_drugs_out (test_set 1),1,AUPRC,0.15225983869418366,twosides-NOSYN,AUPRC
135,leave_drugs_out (test_set 1),1,AUPRC,0.3070208836589573,twosides-NOSYN,AUPRC
136,leave_drugs_out (test_set 1),2,AUPRC,0.4356359138779473,twosides-NOSYN,AUPRC
137,leave_drugs_out (test_set 1),1,AUPRC,0.248326142683876,twosides-NOSYN,AUPRC
138,leave_drugs_out (test_set 1),1,AUPRC,0.36008245789538723,twosides-NOSYN,AUPRC
139,leave_drugs_out (test_set 1),1,AUPRC,0.07489367050322843,twosides-NOSYN,AUPRC
140,leave_drugs_out (test_set 1),1,AUPRC,0.40363087583486945,twosides-NOSYN,AUPRC
141,leave_drugs_out (test_set 1),1,AUPRC,0.07054783215066426,twosides-NOSYN,AUPRC
142,leave_drugs_out (test_set 1),1,AUPRC,0.06509165761117933,twosides-NOSYN,AUPRC
143,leave_drugs_out (test_set 1),1,AUPRC,0.029714088519367955,twosides-NOSYN,AUPRC
144,leave_drugs_out (test_set 1),1,AUPRC,0.06051840796338884,twosides-NOSYN,AUPRC
145,leave_drugs_out (test_set 1),1,AUPRC,0.09106870697691169,twosides-NOSYN,AUPRC
146,leave_drugs_out (test_set 1),2,AUPRC,0.37848758227112256,twosides-NOSYN,AUPRC
147,leave_drugs_out (test_set 1),1,AUPRC,0.2749013357015595,twosides-NOSYN,AUPRC
148,leave_drugs_out (test_set 1),1,AUPRC,0.32870648875081115,twosides-NOSYN,AUPRC
149,leave_drugs_out (test_set 1),1,AUPRC,0.1471827450626061,twosides-NOSYN,AUPRC
150,leave_drugs_out (test_set 1),1,AUPRC,0.16936516632998447,twosides-NOSYN,AUPRC
151,leave_drugs_out (test_set 1),1,AUPRC,0.04557631538037741,twosides-NOSYN,AUPRC
152,leave_drugs_out (test_set 1),1,AUPRC,0.4019656557426042,twosides-NOSYN,AUPRC
153,leave_drugs_out (test_set 1),2,AUPRC,0.41042098114481707,twosides-NOSYN,AUPRC
154,leave_drugs_out (test_set 1),3,AUPRC,0.7134810190061716,twosides-NOSYN,AUPRC
155,leave_drugs_out (test_set 1),1,AUPRC,0.11074432730603784,twosides-NOSYN,AUPRC
156,leave_drugs_out (test_set 1),2,AUPRC,0.47748761320685634,twosides-NOSYN,AUPRC
157,leave_drugs_out (test_set 1),2,AUPRC,0.6174645338106736,twosides-NOSYN,AUPRC
158,leave_drugs_out (test_set 1),1,AUPRC,0.20803942262928274,twosides-NOSYN,AUPRC
159,leave_drugs_out (test_set 1),2,AUPRC,0.576451925705883,twosides-NOSYN,AUPRC
160,leave_drugs_out (test_set 1),1,AUPRC,0.4653432197948556,twosides-NOSYN,AUPRC
161,leave_drugs_out (test_set 1),3,AUPRC,0.8217826883528699,twosides-NOSYN,AUPRC
162,leave_drugs_out (test_set 1),3,AUPRC,0.732453170520927,twosides-NOSYN,AUPRC
163,leave_drugs_out (test_set 1),1,AUPRC,0.28788921514597904,twosides-NOSYN,AUPRC
164,leave_drugs_out (test_set 1),1,AUPRC,0.03164666154882692,twosides-NOSYN,AUPRC
165,leave_drugs_out (test_set 1),1,AUPRC,0.26197018425639373,twosides-NOSYN,AUPRC
166,leave_drugs_out (test_set 1),2,AUPRC,0.4450808249095489,twosides-NOSYN,AUPRC
167,leave_drugs_out (test_set 1),1,AUPRC,0.35803271413010834,twosides-NOSYN,AUPRC
168,leave_drugs_out (test_set 1),1,AUPRC,0.24108684264089722,twosides-NOSYN,AUPRC
169,leave_drugs_out (test_set 1),1,AUPRC,0.09841362490471453,twosides-NOSYN,AUPRC
170,leave_drugs_out (test_set 1),1,AUPRC,0.1916873247708672,twosides-NOSYN,AUPRC
171,leave_drugs_out (test_set 1),1,AUPRC,0.12206468823596453,twosides-NOSYN,AUPRC
172,leave_drugs_out (test_set 1),1,AUPRC,0.2975425763652786,twosides-NOSYN,AUPRC
173,leave_drugs_out (test_set 1),1,AUPRC,0.043090335760599965,twosides-NOSYN,AUPRC
174,leave_drugs_out (test_set 1),1,AUPRC,0.0738149563607933,twosides-NOSYN,AUPRC
175,leave_drugs_out (test_set 1),1,AUPRC,0.1458444770971829,twosides-NOSYN,AUPRC
176,leave_drugs_out (test_set 1),1,AUPRC,0.09534977809107184,twosides-NOSYN,AUPRC
177,leave_drugs_out (test_set 1),1,AUPRC,0.19396531145331403,twosides-NOSYN,AUPRC
178,leave_drugs_out (test_set 1),1,AUPRC,0.2613748334042565,twosides-NOSYN,AUPRC
179,leave_drugs_out (test_set 1),1,AUPRC,0.1431766719028225,twosides-NOSYN,AUPRC
180,leave_drugs_out (test_set 1),1,AUPRC,0.24933898774138918,twosides-NOSYN,AUPRC
181,leave_drugs_out (test_set 1),1,AUPRC,0.22257963386901258,twosides-NOSYN,AUPRC
182,leave_drugs_out (test_set 1),1,AUPRC,0.03989889161124198,twosides-NOSYN,AUPRC
183,leave_drugs_out (test_set 1),1,AUPRC,0.14130105763049572,twosides-NOSYN,AUPRC
184,leave_drugs_out (test_set 1),1,AUPRC,0.13312697410899016,twosides-NOSYN,AUPRC
185,leave_drugs_out (test_set 1),2,AUPRC,0.4533001827046442,twosides-NOSYN,AUPRC
